MSAT Samples (DNA Database Name),Populations,,
IMLS001,Oakbrook,,1IMLS001
IMLS002,Oakbrook,,2IMLS002
IMLS003,Worldsong,,3IMLS003
IMLS004,Worldsong,,4IMLS004
IMLS021,Worldsong,,5IMLS021
IMLS022,Worldsong,,6IMLS022
IMLS023,Worldsong,,7IMLS023
IMLS024,Worldsong,,8IMLS024
IMLS025,Worldsong,,9IMLS025
IMLS026,Worldsong,,10IMLS026
IMLS027,Worldsong,,11IMLS027
IMLS028,Worldsong,,12IMLS028
IMLS029,Worldsong,,13IMLS029
IMLS030,Worldsong,,14IMLS030
IMLS031,Worldsong,,15IMLS031
IMLS032,Worldsong,,16IMLS032
IMLS005,Wattsville,,17IMLS005
IMLS006,Wattsville,,18IMLS006
IMLS033,Wattsville,,19IMLS033
IMLS034,Wattsville,,20IMLS034
IMLS035,Wattsville,,21IMLS035
IMLS036,Wattsville,,22IMLS036
IMLS037,Wattsville,,23IMLS037
IMLS038,Wattsville,,24IMLS038
IMLS039,Wattsville,,25IMLS039
IMLS041,Wattsville,,26IMLS041
IMLS042,Wattsville,,27IMLS042
IMLS043,Wattsville,,28IMLS043
IMLS044,Wattsville,,29IMLS044
IMLS045,Wattsville,,30IMLS045
IMLS046,Wattsville,,31IMLS046
IMLS047,Wattsville,,32IMLS047
IMLS048,Wattsville,,33IMLS048
IMLS007,Moss Rock Preserve,,34IMLS007
IMLS008,Moss Rock Preserve,,35IMLS008
IMLS049,Moss Rock Preserve,,36IMLS049
IMLS050,Moss Rock Preserve,,37IMLS050
IMLS051,Moss Rock Preserve,,38IMLS051
IMLS052,Moss Rock Preserve,,39IMLS052
IMLS053,Moss Rock Preserve,,40IMLS053
IMLS054,Moss Rock Preserve,,41IMLS054
IMLS055,Moss Rock Preserve,,42IMLS055
IMLS056,Moss Rock Preserve,,43IMLS056
IMLS057,Moss Rock Preserve,,44IMLS057
IMLS058,Moss Rock Preserve,,45IMLS058
IMLS059,Moss Rock Preserve,,46IMLS059
IMLS060,Moss Rock Preserve,,47IMLS060
IMLS061,Moss Rock Preserve,,48IMLS061
IMLS062,Moss Rock Preserve,,49IMLS062
IMLS063,Moss Rock Preserve,,50IMLS063
IMLS064,Moss Rock Preserve,,51IMLS064
IMLS065,Moss Rock Preserve,,52IMLS065
IMLS066,Moss Rock Preserve,,53IMLS066
IMLS067,Moss Rock Preserve,,54IMLS067
IMLS068,Moss Rock Preserve,,55IMLS068
IMLS009,Irondale,,56IMLS009
IMLS010,Irondale,,57IMLS010
IMLS069,Irondale,,58IMLS069
IMLS070,Irondale,,59IMLS070
IMLS131,Irondale,,60IMLS131
IMLS132,Irondale,,61IMLS132
IMLS133,Irondale,,62IMLS133
IMLS134,Irondale,,63IMLS134
IMLS135,Irondale,,64IMLS135
IMLS136,Irondale,,65IMLS136
IMLS137,Irondale,,66IMLS137
IMLS138,Irondale,,67IMLS138
IMLS011,EBSCO Ridge,,68IMLS011
IMLS012,EBSCO Ridge,,69IMLS012
IMLS139,EBSCO Ridge,,70IMLS139
IMLS140,EBSCO Ridge,,71IMLS140
IMLS141,EBSCO Ridge,,72IMLS141
IMLS142,EBSCO Ridge,,73IMLS142
IMLS143,EBSCO Ridge,,74IMLS143
IMLS144,EBSCO Ridge,,75IMLS144
IMLS145,EBSCO Ridge,,76IMLS145
IMLS146,EBSCO Ridge,,77IMLS146
IMLS147,EBSCO Ridge,,78IMLS147
IMLS148,EBSCO Ridge,,79IMLS148
IMLS149,EBSCO Ridge,,80IMLS149
IMLS150,EBSCO Ridge,,81IMLS150
IMLS151,EBSCO Ridge,,82IMLS151
IMLS152,EBSCO Ridge,,83IMLS152
IMLS153,EBSCO Ridge,,84IMLS153
IMLS154,EBSCO Ridge,,85IMLS154
IMLS155,EBSCO Ridge,,86IMLS155
IMLS156,EBSCO Ridge,,87IMLS156
IMLS157,EBSCO Ridge,,88IMLS157
IMLS158,EBSCO Ridge,,89IMLS158
IMLS159,EBSCO Ridge,,90IMLS159
IMLS160,EBSCO Ridge,,91IMLS160
IMLS161,EBSCO Ridge,,92IMLS161
IMLS162,EBSCO Ridge,,93IMLS162
IMLS163,EBSCO Ridge,,94IMLS163
IMLS164,EBSCO Ridge,,95IMLS164
IMLS165,EBSCO Ridge,,96IMLS165
IMLS166,EBSCO Ridge,,97IMLS166
IMLS167,EBSCO Ridge,,98IMLS167
IMLS168,EBSCO Ridge,,99IMLS168
IMLS169,EBSCO Ridge,,100IMLS169
IMLS170,EBSCO Ridge,,101IMLS170
